fold,train_end,test_start,test_end,MAE,RMSE,R2,MAPE_%,RMSLE,baseline_weekly_RMSE,baseline_improved_RMSE,baseline_seasonal_RMSE,skill_vs_weekly_RMSE,skill_vs_improved_RMSE,skill_vs_seasonal_RMSE,blend_w_residual,selected_strategy,val_RMSE_base_only,val_RMSE_residual_only,val_RMSE_direct_only,val_RMSE_blend,val_RMSE_selected
1,2017-12-31,2018-01-01,2018-02-28,13.551680550886104,17.285652117585617,0.44031116193980124,14.981441870913853,0.17460849806166331,21.573288568528838,20.58567535835853,31.244863984721214,0.19874746667960652,0.16030677562555573,0.44676820721516575,0.0,direct_only,36.67951236067111,36.54521876275715,21.663283291421905,21.663283291421905,21.663283291421905
2,2018-02-28,2018-03-01,2018-04-30,20.131606851055697,26.459932444675324,0.6910269898485097,11.520577053031133,0.14520054147595557,46.572876085606374,25.10959108262838,35.784017404972076,0.4318596000805515,-0.053777911301038796,0.26056562779899606,0.6,blend,23.44112520221053,23.345158384408553,25.067743813511992,19.48982041182985,19.48982041182985
3,2018-04-30,2018-05-01,2018-06-30,16.314529050601177,20.11603886090854,0.6049159733783782,9.93750703487505,0.12435722308963999,31.826888312747936,19.397988986235735,27.52361132424066,0.36795458408507803,-0.03701671730932068,0.2691351936367488,0.45,blend,31.36099090802937,30.930884861774402,29.546401878063772,28.1875755277446,28.1875755277446
4,2018-06-30,2018-07-01,2018-08-31,12.999352038593972,16.760804906420752,0.7003778759333594,9.469821707207094,0.11976890386922809,30.548744760654454,16.760804906420752,22.76289071160311,0.45134227158138457,0.0,0.2636785407102476,1.0,base_only,21.098786134333093,21.08356100209739,25.22542592797072,21.08356100209739,21.098786134333093
5,2018-08-31,2018-09-01,2018-10-31,13.692829131466578,17.564297609712295,0.6790375162321938,9.214963104944601,0.12418127978043274,26.4934263420997,17.656227147256274,28.37360525928695,0.33703185903887656,0.005206635414081941,0.38096348880573316,1.0,residual_only,16.76175899739749,16.27528703579488,20.423996433584975,16.27528703579488,16.27528703579488
6,2018-10-31,2018-11-01,2018-12-31,13.941522787711987,18.613028047151303,0.7610573083298611,11.808303096833768,0.16157425551883883,30.376328143398272,20.327662299845343,27.266895799804146,0.3872522064126932,0.08434980015912039,0.3173763458880788,0.45,blend,17.24675843058059,16.869883378874622,16.871183451738855,16.226301364644453,16.226301364644453
7,2018-12-31,2019-01-01,2019-02-28,11.846577910704033,13.875076767403247,0.6741169844166814,13.649763718600491,0.15413864093910207,22.071148434559063,15.429084694431978,19.948981538083082,0.37134776613265785,0.10071938535599194,0.3044719229943948,0.0,direct_only,19.583338468869744,19.228490920106104,17.470741228895942,17.470741228895942,17.470741228895942
8,2019-02-28,2019-03-01,2019-04-30,15.121780556652185,19.851745657669255,0.8349053475452095,9.907348398065698,0.12575064388133722,39.96248240537617,19.803387726043205,33.71517632690208,0.5032404279520286,-0.002441901976319705,0.4111925897943737,0.3,blend,18.32437014393004,16.7352424158173,15.704209739968407,15.399605134940678,15.399605134940678
9,2019-04-30,2019-05-01,2019-06-30,16.44384042144685,20.079282211948946,0.5387089240356704,10.11545970307966,0.12184459348904819,28.490147851321584,20.070145753917426,28.145625406236697,0.2952201470931461,-0.0004552262920032239,0.28659314113163586,0.75,blend,19.261744114972338,17.936073393332684,21.217409636168483,17.86777139513256,17.86777139513256
10,2019-06-30,2019-07-01,2019-08-31,14.628192544474524,19.348622062757713,0.6287100964177791,10.817570945867272,0.1349018473779996,34.25520916355219,20.885578782906396,29.117185370000442,0.4351626355461055,0.07358937648434198,0.3354913321157519,0.75,blend,20.476888881040217,20.225972157626607,21.915353459265337,19.84318066915223,19.84318066915223
11,2019-08-31,2019-09-01,2019-10-31,12.145793268974147,15.641034054139423,0.7137370700398524,8.212479391304358,0.10695586319071178,28.15472472943332,16.698930842568153,22.392823059859243,0.44446148188449236,0.06335116891028661,0.3015157574224257,0.6,blend,20.686100473818954,19.025899637942715,19.149318178989006,18.702185877965984,18.702185877965984
12,2019-10-31,2019-11-01,2019-12-31,13.331850268112762,17.665764064175207,0.5777075602602608,11.674978222928157,0.15533690432670294,23.169369264853707,18.465267243202863,29.723383188942698,0.23753798119256875,0.04329767711983462,0.40566105978316114,0.6,blend,16.001794318097147,15.348725130452584,15.543441220588578,15.08075265534478,15.08075265534478
13,2019-12-31,2020-01-01,2020-02-29,15.38127613677227,20.18326095178659,0.02045279836401226,20.553335565576816,0.24900640113270042,23.095454098155333,21.672422472341513,22.886859403014064,0.12609378165902113,0.06871227812467207,0.11812885305143381,0.45,blend,17.064771977134484,16.949400240890938,16.633606360395046,16.44968166466713,16.44968166466713
