Variavel,mean_abs_shap
TEMPMED,1.5147539980027094
PM2_5,1.2674553654087242
NO2,1.2545182604029308
CO,1.0994664033727242
PRECIPIT,1.0258532302846108
O3,1.0069298455907907
PM10,0.8838711252697937
SO2,0.8436790644744488
PRESSAOATM,0.8317340877382161
RADIACAO,0.8196329006283866
VELVENTO,0.7669150716642209
UMIDRELAT,0.34545779144703687
