Variavel,Importancia
CO,12.56069366234025
TEMPMED,12.489742438532213
PM2_5,11.033232514250802
O3,10.871145307538216
PM10,9.722420248216931
NO2,8.81559548628541
SO2,8.747735023381972
RADIACAO,6.622762847049026
PRESSAOATM,6.586132139202842
VELVENTO,5.263914124821939
PRECIPIT,3.8961585824758114
UMIDRELAT,3.39046762590459
